x,y,data
4,57,100.1875
4,58,103.0625
4,59,103.5
4,60,103.5
4,61,102.75
4,62,101.1875
4,63,102.625
4,64,101.625
4,65,101.3125
4,66,100.6875
4,67,100.75
4,68,100.625
4,69,100.75
4,70,100.625
4,71,100.625
4,72,99.1875
4,73,99.1875
4,74,101.75
4,75,104.0
4,76,102.5
4,77,102.1875
4,78,99.375
4,79,99.25
4,80,99.375
4,81,101.875
4,82,101.875
4,83,99.125
4,84,99.9375
4,85,99.9375
4,86,99.9375
4,87,100.0625
4,88,101.58333333333333
4,89,104.83333333333333
4,90,102.625
4,91,101.5
4,92,101.4375
4,93,100.375
4,94,100.625
4,95,100.625
4,96,99.9375
4,97,99.9375
4,98,100.4375
4,99,102.9375
4,100,102.625
4,101,102.4375
4,102,101.1875
4,103,101.9375
4,104,101.8125
4,105,102.25
4,106,101.3125
4,107,101.125
4,108,98.25
4,109,100.1875
4,110,100.75
4,111,102.8125
4,112,102.6875
4,113,103.1875
4,114,103.375
4,115,103.1875
4,116,101.5625
4,117,100.4375
4,118,103.16666666666667
4,119,101.5625
4,120,101.6875
4,121,101.6875
4,122,102.25
4,123,102.8125
4,124,102.75
4,125,103.3125
4,126,103.3125
4,127,100.4375
4,128,100.25
4,129,101.25
4,130,101.625
4,131,101.25
4,132,101.25
4,133,101.5625
4,134,101.5625
4,135,101.5625
4,136,101.5625
4,137,101.75
4,138,101.75
4,139,100.1875
4,140,100.375
4,141,100.875
4,142,102.0625
4,143,101.125
4,144,101.5625
4,145,101.75
4,146,103.91666666666667
4,147,102.4375
4,148,103.25
4,149,101.5
4,150,101.1875
4,151,102.1875
4,152,102.1875
4,153,102.375
4,154,102.375
4,155,101.5
4,156,101.5
4,157,101.5
4,158,101.5
4,159,102.5625
4,160,102.375
4,161,103.0
4,162,100.9375
4,163,100.9375
4,164,100.9375
4,165,100.4375
4,166,100.125
4,167,99.1875
4,168,101.3125
4,169,101.3125
4,170,101.3125
4,171,101.5625
4,172,99.8125
4,173,102.0
4,174,99.9375
4,175,102.0
4,176,100.66666666666667
4,177,102.625
4,178,98.41666666666667
4,179,98.8125
4,180,98.8125
4,181,101.8125
4,182,99.75
4,183,102.5625
4,184,99.625
4,185,101.0
4,186,99.5625
4,187,99.9375
4,188,99.9375
4,189,100.9375
4,190,101.25
4,191,101.25
5,0,98.375
5,1,98.375
5,2,99.4375
5,3,98.1875
5,4,98.625
5,5,98.625
5,6,98.625
5,7,99.5625
5,8,100.875
5,9,100.875
5,10,102.125
5,11,102.125
5,12,102.25
5,13,102.25
5,14,102.25
5,15,103.8125
5,16,105.5625
5,17,102.75
5,18,102.75
5,19,101.4375
5,20,101.9375
5,21,100.5625
5,22,100.5625
5,23,100.75
5,24,100.75
5,25,100.875
5,26,100.5625
5,27,100.25
5,28,99.5
5,29,100.125
5,30,100.6875
5,31,101.25
5,32,101.1875
5,33,101.1875
5,34,99.9375
5,35,100.5625
5,36,99.9375
5,37,98.75
5,38,98.375
5,39,98.375
5,40,101.3125
5,41,101.3125
5,42,98.8125
5,43,98.8125
5,44,100.83333333333333
5,45,100.91666666666667
5,46,102.125
5,47,102.125
5,48,102.3125
5,49,102.6875
5,50,101.5625
5,51,101.375
5,52,101.375
5,53,100.75
5,54,100.75
5,55,100.3125
5,56,100.3125
5,57,100.1875
5,58,102.16666666666667
5,59,103.0
5,60,103.0
5,61,102.75
5,62,102.0
5,63,102.0
5,64,103.25
5,65,101.625
5,66,101.8125
5,67,101.3125
5,68,100.625
5,69,100.625
5,70,100.625
5,71,100.25
5,72,99.875
5,73,100.25
5,74,101.75
5,75,102.5
5,76,100.6875
5,77,99.9375
5,78,99.4375
5,79,99.375
5,80,99.625
5,81,102.0
5,82,99.6875
5,83,99.625
5,84,99.625
5,85,100.75
5,86,100.75
5,87,100.0625
5,88,101.5
5,89,101.5
5,90,101.125
5,91,101.125
5,92,101.125
5,93,101.5
5,94,102.25
5,95,101.25
5,96,101.0625
5,97,101.125
5,98,102.1875
5,99,103.75
5,100,103.0625
5,101,102.4375
5,102,100.5
5,103,101.9375
5,104,102.25
5,105,102.4375
5,106,101.3125
5,107,101.0625
5,108,100.1875
5,109,101.1875
5,110,100.75
5,111,100.75
5,112,100.1875
5,113,100.375
5,114,102.4375
